"danish","swedish","pos","example_da","example_sv","note","deck","cefr","tags","accepted","audio","audio_example","rank"
"grøntsag","grönsak","noun","","","","praksis-mad-grund-b1","b1","","","audio/da-0db9db5b579a27.mp3","","16708"
"brombær","björnbär","noun","","","","praksis-mad-frugt-groent-b2","b2","","","audio/da-0a7d645718875c.mp3","","44051"
"kalkun","kalkon","noun","","","","praksis-mad-koed-fisk-b2","b2","","","audio/da-14cae85b7514f9.mp3","","6224"
"havregrød","havregröt","noun","","","","praksis-mad-bagvaerk-b1","b1","","","audio/da-0480ea70f77272.mp3","","18184"
"danskvand","mineralvatten (kolsyrat)","noun","","","","praksis-drikke-b1","b1","","","audio/da-1724732c2b3d04.mp3","","18805"
"grydelap","grytlapp","noun","","","","praksis-koekken-redskaber-b2","b2","","","audio/da-145d7435df7dbd.mp3","",""
"tjener","servitör","noun","","","","praksis-maaltider-restaurant-b1","b1","","","audio/da-04b4767e6a52f9.mp3","","1091"
"entré","hall (entré)","noun","","","","praksis-hus-rum-b2","b2","","","audio/da-1859728035e327.mp3","","14318"
"taburet","pall","noun","","","","praksis-moebler-b2","b2","","skammel","audio/da-0fdfe72431321a.mp3","",""
"skraldespand","soptunna","noun","","","","praksis-husholdning-ting-b1","b1","","","audio/da-0b5d256ea43f0a.mp3","","11689"
"vaske","tvätta","verb","","","","praksis-rengoering-b1","b1","","","audio/da-01783134f73f27.mp3","","2595"
"frakke","rock (ytterrock)","noun","","","","praksis-toej-b1","b1","","","audio/da-100772d64cd4eb.mp3","","4295"
"kasket","keps","noun","","","","praksis-sko-tilbehoer-b1","b1","","","audio/da-1b18cdb24e8e5a.mp3","","11321"
"øjenlåg","ögonlock","noun","","","","praksis-krop-ydre-b2","b2","","","audio/da-106778b73f17f7.mp3","","22053"
"hjerne","hjärna","noun","Min hjerne fungerer ikke så godt om morgenen.","Min hjärna fungerar inte så bra på morgonen.","","praksis-krop-indre-b1","b1","","","audio/da-0329aa9c692812.mp3","","1238"
"sygehus","sjukhus","noun","","","","praksis-sundhed-sygdom-b1","b1","","hospital","audio/da-1e82cd9f029bda.mp3","","13489"
"helbrede","bota","verb","","","","praksis-medicin-laege-b2","b2","","","audio/da-0699256c5fec43.mp3","","5983"
"bedstefar","morfar/farfar","noun","","","","praksis-familie-b1","b1","","","audio/da-0d289a5790135e.mp3","","1686"
"dame","dam","noun","En ældre dame spurgte mig om vej.","En äldre dam frågade mig om vägen.","","praksis-relationer-b1","b1","","","audio/da-1d26eee8c9afeb.mp3","","869"
"medfølelse","medkänsla","noun","","","","praksis-foelelser-navne-b1","b1","","","audio/da-1bd706e42e1019.mp3","","5861"
"ærlighed","ärlighet","noun","","","","praksis-personlighed-navne-b1","b1","","","audio/da-15eaf2ca64d4f5.mp3","","6139"
"løn","lön","noun","","","","praksis-arbejde-kontor-b1","b1","","","audio/da-098325d75f8a30.mp3","","2006"
"købmand","köpman (handlare)","noun","","","","praksis-erhverv-jobs-b1","b1","","","audio/da-072d6a828b0f44.mp3","","13192"
"eksamen","tentamen (examen)","noun","","","","praksis-skole-uddannelse-b1","b1","","","audio/da-162160b8127e45.mp3","","3392"
"ligning","ekvation","noun","","","","praksis-universitet-fag-b2","b2","","","audio/da-172966006046b9.mp3","","21208"
"afdrag","avbetalning","noun","","","","praksis-penge-oekonomi-b2","b2","","","audio/da-12b683de8af0a5.mp3","","19573"
"beløb","belopp","noun","","","","praksis-bank-finans-b1","b1","","","audio/da-097379f83fe90d.mp3","","5173"
"indkøbsvogn","kundvagn","noun","","","","praksis-indkoeb-butik-b1","b1","","","audio/da-079deb0a8b5032.mp3","","38460"
"gade","gata","noun","","","","praksis-transport-koeretoejer-b1","b1","","","audio/da-0dd481c9f3abd4.mp3","","4151"
"bøde","böter","noun","","","","praksis-trafik-vej-b1","b1","","","audio/da-129f7457d29b64.mp3","","3744"
"grænse","gräns","noun","","","","praksis-rejse-turisme-b1","b1","","","audio/da-0c52b649845e33.mp3","","4025"
"legetøj","leksak (leksaker)","noun","","","","praksis-ferie-fritid-b1","b1","","","audio/da-0e8e12f9c22a65.mp3","","2747"
"træ","träd","noun","","","","praksis-natur-landskab-b1","b1","","","audio/da-1a0e3267d69284.mp3","","1494"
"tåge","dimma","noun","","","","praksis-vejr-klima-b1","b1","","","audio/da-1978e57c120ec2.mp3","","8409"
"kvæg","boskap (nötkreatur)","noun","","","","praksis-dyr-husdyr-b2","b2","","","audio/da-1927dd385d9673.mp3","","6097"
"odder","utter","noun","","","","praksis-dyr-vilde-b2","b2","","","audio/da-1e6fa14755baac.mp3","","37480"
"spætte","hackspett","noun","","","","praksis-fugle-insekter-b2","b2","","","audio/da-0a0d6f23945727.mp3","","40068"
"eg","ek (träd)","noun","","","","praksis-planter-have-b2","b2","","","audio/da-0f27159d842fc2.mp3","","14374"
"kirke","kyrka","noun","","","","praksis-by-bygninger-b1","b1","","","audio/da-0cd77eab380569.mp3","","1945"
"posthus","posthus (postkontor)","noun","","","","praksis-infrastruktur-b1","b1","","","audio/da-136923d5446bf0.mp3","","36009"
"mus","datormus","noun","","","","praksis-teknologi-computer-b1","b1","","","audio/da-153d22ac79f8de.mp3","","3671"
"taste","tangent","noun","","","","praksis-internet-medier-b1","b1","","","audio/da-14a426d6e416f1.mp3","","22277"
"tekstbesked","sms (textmeddelande)","noun","","","","praksis-telefon-komm-b1","b1","","","audio/da-0f8896b960ba46.mp3","",""
"overskrift","rubrik","noun","","","","praksis-nyheder-aviser-b1","b1","","","audio/da-0c1e2a8d8c6e6a.mp3","","16284"
"altid","alltid","adv","Hun kommer altid for sent til møderne.","Hon kommer alltid för sent till mötena.","","praksis-tid-kalender-b1","b1","","","audio/da-1e0ebef3dbeb2e.mp3","","156"
"juleaften","julafton","noun","","","","praksis-ugedage-saesoner-b1","b1","","","audio/da-1139ef16b3591c.mp3","","5515"
"holdkammerat","lagkamrat","noun","","","","praksis-sport-motion-b2","b2","","","audio/da-1e452e9e07905f.mp3","","29184"
"holdkamp","lagmatch","noun","","","","praksis-hobby-spil-b2","b2","","","audio/da-0da00177c205ab.mp3","",""
"sangerinde","sångerska","noun","","","","praksis-musik-instrumenter-b2","b2","","","audio/da-0f61b1c9adb33f.mp3","","20447"
"digter","poet (diktare)","noun","","","","praksis-kunst-kultur-b2","b2","","","audio/da-062f38b82ab52b.mp3","","9677"
"forevisning","visning","noun","","","","praksis-film-teater-b2","b2","","","audio/da-06835c134a070e.mp3","","42924"
"udgivelse","utgivning","noun","","","","praksis-boeger-litteratur-b2","b2","","","audio/da-0e072d6f14aeb7.mp3","","35759"
"dømme","döma","verb","","","","praksis-lov-kriminalitet-b1","b1","","","audio/da-0ea17b4cb33694.mp3","","2994"
"forslag","förslag","noun","","","","praksis-politik-samfund-b1","b1","","","audio/da-0b4a818903aaf4.mp3","","2025"
"blanket","blankett (formulär)","noun","","","","praksis-stat-forvaltning-b1","b1","","","audio/da-0123dcde28dc7d.mp3","","17842"
"forklaring","förklaring","noun","","","","praksis-videnskab-forskning-b1","b1","","","audio/da-0ef12050066e84.mp3","","2019"
"gange","multiplicera (gånger)","verb","Du skal gange syv med tre.","Du ska multiplicera sju med tre.","","praksis-matematik-tal-b1","b1","","","audio/da-1cec8620d2fb10.mp3","","273"
"begrave","begrava","verb","","","","praksis-religion-tro-b1","b1","","","audio/da-0327d0f093fe66.mp3","","3645"
"lighed","likhet","noun","","","","praksis-abstrakte-begreber-b2","b2","","","audio/da-1386e8d38964d2.mp3","","10989"
"mursten","tegelsten","noun","","","","praksis-materialer-stoffer-b2","b2","","teglsten","audio/da-13e52e162fa852.mp3","","9055"
"boremaskine","borrmaskin","noun","","","","praksis-vaerktoej-diy-b1","b1","","","audio/da-00d40500e2d7c9.mp3","","33682"
"mur","mur (vägg av sten)","noun","","","","praksis-byggeri-b1","b1","","","audio/da-156cd4187eaee2.mp3","","4663"
"byg","korn (sädesslag)","noun","","","","praksis-landbrug-b2","b2","falsk-ven","","audio/da-18dcd2b8dd3fd1.mp3","","12413"
"dusin","dussin","noun","","","","praksis-maal-vaegt-b2","b2","","","audio/da-0dd173366805e2.mp3","","4384"
"derhen","dit","adv","Hvordan kommer vi derhen uden bil?","Hur tar vi oss dit utan bil?","","praksis-retninger-placering-b1","b1","","","audio/da-02ae2b76940810.mp3","","1103"
"familie","familj","noun","Jeg holder jul med hele min familie.","Jag firar jul med hela min familj.","","praksis-samfundsgrupper-b1","b1","","","audio/da-0e5ae631a3cfec.mp3","","272"
"derefter","därefter (sedan)","adv","Vi spiste middag, og derefter så vi en film.","Vi åt middag och sedan såg vi en film.","","praksis-adverbier-tid-b1","b1","","","audio/da-1cbaa4302a667b.mp3","","1308"
"godt","bra (väl)","adv","Du klarede dig rigtig godt til prøven i går.","Du klarade dig riktigt bra på provet i går.","","praksis-adverbier-maade-b1","b1","","","audio/da-1ab58c216c3a0f.mp3","","52"
"vældig","väldigt","adv","","","","praksis-adverbier-grad-b1","b1","","","audio/da-140a812c93b1ce.mp3","","4314"
"udendørs","utomhus","adv","","","","praksis-adverbier-sted-b1","b1","","","audio/da-09f09657d22a53.mp3","","11489"
"ifølge","enligt","other","Ifølge vejrudsigten skal det regne hele weekenden.","Enligt väderprognosen ska det regna hela helgen.","","praksis-forholdsord-b2","b2","","Ifølge","audio/da-18b2bbcb5acf9e.mp3","","1161"
"førend","innan","other","","","","praksis-bindeord-diskurs-b2","b2","","","audio/da-109ba285c9d4af.mp3","","21116"
"hvor","var (vart)","adv","Hvor har du lagt mine nøgler?","Var har du lagt mina nycklar?","","praksis-spoergeord-pron-b1","b1","","Hvor","audio/da-1b9a5f220d180b.mp3","","45"
"sgu","minsann (fan)","other","Det var sgu en god film, synes du ikke?","Det var fan en bra film, tycker du inte?","","praksis-smaaord-fyldord-b2","b2","","","audio/da-0fb4e02075d8b9.mp3","","485"
"underlig","konstig (inte underlig/förträfflig)","adj","","","","praksis-falske-venner-klassiske-b1","b1","","","audio/da-00417373f4bbd3.mp3","","2238"
"ramme","träffa (drabba)","verb","","","","praksis-falske-venner-verber-b1","b1","","","audio/da-0e1504c7eb4f9a.mp3","","1891"
"mærkelig","konstig, märklig","adj","","","","praksis-falske-venner-adj-b1","b1","","","audio/da-00f4d3f9954a61.mp3","","3269"
"klæde sig på","klä på sig","phrase","","","","praksis-hverdag-rutiner-b1","b1","","","audio/da-09ae5ddfa6b058.mp3","",""
"ensom","ensam","adj","","","","praksis-foelelser-udtryk-b1","b1","","","audio/da-04e11eb765572c.mp3","","2139"
"knus","kram (omfamning)","noun","","","","praksis-kropssprog-b1","b1","falsk-ven","","audio/da-1f9c35dddb3392.mp3","","4228"
"hvin","vin (gällt skrik)","noun","","","","praksis-lyde-stoej-b2","b2","","","audio/da-16ff3ded6dbdfd.mp3","","44740"
"rejse sig","resa sig (ställa sig upp)","verb","","","","praksis-positioner-b1","b1","","","audio/da-04c1636042dacf.mp3","",""
"klipfisk","klippfisk","noun","","","","praksis-mad-avanceret-b2","b2","","","audio/da-08d7c6091bcb92.mp3","",""
"overenskomst","kollektivavtal","noun","","","","praksis-arbejde-b2","b2","","","audio/da-151fefa6a9ff3e.mp3","","40803"
"grundstof","grundämne","noun","","","","praksis-videnskab-b2","b2","","","audio/da-0a3bff8ddf107b.mp3","",""
"sigtede","den misstänkte","noun","","","","praksis-lov-b2","b2","","","audio/da-17a6307f398013.mp3","","8709"
"valgsted","vallokal","noun","","","","praksis-politik-b2","b2","","","audio/da-1bb5bc38bdd781.mp3","",""
"bær","bär","noun","","","","praksis-natur-b1","b1","","","audio/da-1ab70dcaa6454d.mp3","","4793"
"fnat","skabb","noun","","","","praksis-sundhed-b2","b2","","","audio/da-07603f94920eaa.mp3","","44432"
"lettet om hjertet","lättad","phrase","","","","praksis-foelelser-b2","b2","","","audio/da-118583c85f6dd6.mp3","",""
"gear","växel (fordon)","noun","","","","praksis-teknologi-b2","b2","","","audio/da-1259677c744376.mp3","","7181"
"omdrejningspunkt","omdrejningspunkt (kärnpunkt)","noun","","","","praksis-kultur-b2","b2","","","audio/da-02cbafdcc6d54c.mp3","",""
"værdighed","värdighet","noun","","","","praksis-abstrakt-b2","b2","","","audio/da-0bb5e9ffa7a7f8.mp3","","5166"
"understrege","understryka","verb","","","","praksis-kommunikation-b2","b2","","","audio/da-11aca446e8ce3d.mp3","","13931"
"pensionist","pensionär","noun","","","","praksis-samfund-b1","b1","","","audio/da-1a762bbc61a101.mp3","","23625"
"lager","lager (förråd)","noun","","","","praksis-handel-b1","b1","","","audio/da-148390883deb47.mp3","","3778"
"opgaveskrivning","uppsatsskrivande","noun","","","","praksis-uddannelse-b2","b2","","","audio/da-1b056df80558ce.mp3","",""
"opmærksomhed","uppmärksamhet","noun","","","","praksis-psykologi-b2","b2","","","audio/da-0f56cb8d1a77bc.mp3","","1621"
"vished","visshet","noun","","","","praksis-filosofi-b2","b2","","","audio/da-151f10a5a09c9e.mp3","","14639"
"slag","slag (drabbning)","noun","","","","praksis-historie-b1","b1","","","audio/da-142f034e5c0fae.mp3","","1549"
"gletsjer","glaciär","noun","","","","praksis-geografi-b2","b2","","","audio/da-02c769b8c2f95d.mp3","",""
"skybrud","skyfall","noun","","","","praksis-vejr-b2","b2","","","audio/da-1d03898fa0c936.mp3","",""
"tåre","tår","noun","","","","praksis-krop-b1","b1","","","audio/da-0a19fe6b26f32a.mp3","","13206"
"smage til","smaka av","phrase","","","","praksis-foedevarer-b1","b1","","","audio/da-19b4e0aa35a655.mp3","",""
"strejke","strejk","noun","","","","praksis-arbejdsmarked-b2","b2","","","audio/da-188de0fdaf3275.mp3","","13493"
"fraflytning","utflyttning","noun","","","","praksis-bolig-b2","b2","","","audio/da-1ad21d4165dbaf.mp3","",""
"genanvende","återanvända","verb","","","","praksis-miljoe-b2","b2","","","audio/da-06dc4019c5e0d1.mp3","",""
"varmepumpe","värmepump","noun","","","","praksis-energi-b2","b2","","","audio/da-1acc6026d85c5b.mp3","",""
"hjemrejse","hemresa","noun","","","","praksis-rejse-b2","b2","","","audio/da-13cf5b81485582.mp3","","34453"
"jagt","jakt","noun","","","","praksis-fritid-b1","b1","","","audio/da-04fc27b82a0c45.mp3","","2262"
"stole","lita (på)","verb","Du kan altid stole på mig, det lover jeg.","Du kan alltid lita på mig, det lovar jag.","","praksis-relationer-b1","b1","","","audio/da-1c6186007d692c.mp3","","727"
"dengang i tiden","förr i tiden","phrase","","","","praksis-tid-b2","b2","","","audio/da-1bf33b3af039b6.mp3","",""
"stemmejern","stämjärn","noun","","","","praksis-snedker-toemrer-b2","b2","","","audio/da-0126e05489c4fe.mp3","",""
"teglsten","tegelsten","noun","","","","praksis-murer-b1","b1","","mursten","audio/da-125a47782cf046.mp3","",""
"nedløbsrør","stuprör","noun","","","","praksis-vvs-blik-b2","b2","","","audio/da-15d3670f2aef52.mp3","",""
"nulleder","nolledare","noun","","","","praksis-elektriker-b2","b2","","","audio/da-039aa30c39eadd.mp3","",""
"afdækning","avtäckning/maskering","noun","","","","praksis-maler-dekoration-b2","b2","","","audio/da-1d1b98a12c5482.mp3","",""
"krumtap","vevaxel","noun","","","","praksis-mekaniker-b2","b2","","krumtapaksel","audio/da-1f8593f3d1a6ce.mp3","",""
"smede","smida","verb","","","","praksis-smed-metal-b2","b2","","","audio/da-15af348ebe8f03.mp3","","20492"
"hægte","hyska/hake","noun","","","","praksis-syning-skraedder-b2","b2","","","audio/da-1802753e21768d.mp3","","35258"
"bakkenbarter","polisonger","noun","","","","praksis-frisoer-b2","b2","","","audio/da-15b211f396858f.mp3","","34123"
"græsplæne","gräsmatta","noun","","","","praksis-gartner-detalje-b1","b1","","plæne","audio/da-040af85f3597d9.mp3","","18733"
"bagepulver","bakpulver","noun","","","","praksis-bager-konditor-b1","b1","","","audio/da-1a2ce96a1d792c.mp3","","35356"
"yderlår","ytterlår","noun","","","","praksis-slagter-b2","b2","","","audio/da-1e34eae35a6bd0.mp3","",""
"hjul","rulle (fiskerulle)","noun","","","","praksis-fisker-b1","b1","falsk-ven","","audio/da-0f94b37114ab38.mp3","","4441"
"tærske","tröska","verb","","","","praksis-landmand-detalje-b2","b2","","","audio/da-0d7e8a73a7f490.mp3","",""
"ingefær","ingefära","noun","","","","praksis-krydderier-b1","b1","","","audio/da-0b0af2c473f753.mp3","","25188"
"pebermynte","pepparmynta","noun","","","","praksis-urter-b2","b2","","","audio/da-099ecc32d8df9a.mp3","","26727"
"grøn fluesvamp","lömsk flugsvamp","noun","","","","praksis-svampe-b2","b2","","","audio/da-11371027dd31d0.mp3","",""
"hørfrø","linfrö","noun","","","","praksis-noedder-froe-b2","b2","","","audio/da-0a8bd85182d58e.mp3","",""
"valle","vassla","noun","","","","praksis-mejeri-detalje-b2","b2","","","audio/da-046bc282862860.mp3","","30986"
"ribbensteg","stekt fläsksida","noun","","","","praksis-paalaeg-b2","b2","","","audio/da-1c5b704b0fb90a.mp3","",""
"bolle","bulle","noun","","","","praksis-kager-desserter-b1","b1","","","audio/da-18e90d4fcf91ed.mp3","","3470"
"hønsekødssuppe","hönssoppa","noun","","","","praksis-supper-gryder-b2","b2","","","audio/da-0b5059b7f78604.mp3","",""
"persillesovs","persiljesås","noun","","","","praksis-saucer-dressing-b1","b1","","","audio/da-115f37bcfa40bb.mp3","",""
"nedlægge","lägga in (konservera)","verb","","","","praksis-konserves-holdbar-b2","b2","","","audio/da-1df7bf51897866.mp3","","11995"
"ædelgran","ädelgran (silvergran)","noun","","","","praksis-traeer-arter-b2","b2","","","audio/da-03e52dba62c715.mp3","",""
"valmue","vallmo","noun","","","","praksis-blomster-arter-b2","b2","","","audio/da-199b95cd7664c5.mp3","",""
"slethvar","slätvar","noun","","","","praksis-fisk-arter-b2","b2","","","audio/da-1f7c18b48e3f5a.mp3","",""
"døgnflue","dagslända","noun","","","","praksis-insekter-arter-b2","b2","","","audio/da-00b3b431ccc3a4.mp3","",""
"løvsanger","lövsångare","noun","","","","praksis-fugle-arter-b2","b2","","","audio/da-0f5bc42ae16e72.mp3","",""
"skypumpe","tromb/tornado","noun","","","","praksis-vejrfaenomener-b2","b2","","","audio/da-1f6a1cfb30ea2c.mp3","",""
"grundfjeld","urberg","noun","","","","praksis-geologi-mineraler-b2","b2","","","audio/da-03afe3045cd869.mp3","",""
"tidevand","tidvatten","noun","","","","praksis-vand-hav-b2","b2","","","audio/da-0c798234b6b6a1.mp3","","29338"
"solformørkelse","solförmörkelse","noun","","","","praksis-astronomi-himmel-b2","b2","","","audio/da-1bffbee39abfbd.mp3","","38266"
"skinneben","smalben (skenben)","noun","","","","praksis-skelet-knogler-b2","b2","","","audio/da-19f4d930cf21f5.mp3","","26537"
